"Id","Label","Degree","Betweenness","Expression"
"30011","SH3KBP1",2,2985,0.55767
"3066","HDAC2",2,2985,0
"3101","HK3",2,2985,0
"3122","HLA-DRA",2,2985,1.4993
"3163","HMOX2",2,2985,0.36194
"3170","FOXA2",2,2985,0
"3175","ONECUT1",2,2985,0
"3257","HPS1",2,2985,0
"3313","HSPA9",2,2985,0
"3339","HSPG2",2,2985,0.41536
"348180","CTU2",2,2985,0
"356","FASLG",2,2985,0
"3589","IL11",2,2985,0
"3594","IL12RB1",2,2985,0.38858
"3603","IL16",2,2985,0.35793
"3609","ILF3",2,2985,0.35119
"3665","IRF7",2,2985,0
"3683","ITGAL",2,2985,0.38859
"3689","ITGB2",2,2985,0
"3703","STT3A",2,2985,0
"3760","KCNJ3",2,2985,0.43767
"3768","KCNJ12",2,2985,0
"382","ARF6",2,2985,0.44411
"3833","KIFC1",2,2985,0.40709
"387","RHOA",2,2985,0.67754
"390","RND3",2,2985,1.001
"3912","LAMB1",2,2985,0.714
"3929","LBP",2,2985,0
"3945","LDHB",2,2985,0.92917
"3953","LEPR",2,2985,0
"3956","LGALS1",2,2985,1.0733
"3977","LIFR",2,2985,0
"4026","LPP",2,2985,0
"4035","LRP1",2,2985,0
"4040","LRP6",2,2985,0.45838
"4055","LTBR",2,2985,0.65799
"4089","SMAD4",2,2985,0
"4090","SMAD5",2,2985,0
"4110","MAGEA11",2,2985,0
"4193","MDM2",2,2985,0.41697
"4232","MEST",2,2985,0
"4301","MLLT4",2,2985,0
"4313","MMP2",2,2985,0.40439
"4356","MPP3",2,2985,0
"4435","CITED1",2,2985,0
"4589","MUC7",2,2985,0
"4605","MYBL2",2,2985,0.72418
"463","ZFHX3",2,2985,0.81067
"4637","MYL6",2,2985,0.61424
"4680","CEACAM6",2,2985,0
"4738","NEDD8",2,2985,0.7077
"4780","NFE2L2",2,2985,0.52844
"4790","NFKB1",2,2985,0.7508
"4809","NHP2L1",2,2985,0
"4853","NOTCH2",2,2985,0.46363
"4904","YBX1",2,2985,0.73321
"50618","ITSN2",2,2985,0.57511
"5089","PBX2",2,2985,0
"5092","PCBD1",2,2985,0.38068
"50944","SHANK1",2,2985,0
"51013","EXOSC1",2,2985,0.46506
"51025","PAM16",2,2985,0.54641
"51042","ZNF593",2,2985,0.58008
"51094","ADIPOR1",2,2985,0
"51162","EGFL7",2,2985,0
"51255","RNF181",2,2985,0.6437
"51280","GOLM1",2,2985,0
"51412","ACTL6B",2,2985,0
"51564","HDAC7",2,2985,0
"51684","SUFU",2,2985,0.49246
"51693","TRAPPC2L",2,2985,0.5501
"51701","NLK",2,2985,0
"51729","WBP11",2,2985,0.93544
"5174","PDZK1",2,2985,0
"51762","RAB8B",2,2985,0.54725
"5188","PET112",2,2985,0.40628
"5328","PLAU",2,2985,0
"5351","PLOD1",2,2985,0.43313
"5433","POLR2D",2,2985,0.93979
"5435","POLR2F",2,2985,0
"54512","EXOSC4",2,2985,0
"54557","SGTB",2,2985,0
"5460","POU5F1",2,2985,0.33811
"54622","ARL15",2,2985,0
