"Id","Label","Degree","Betweenness","Expression"
"6611","SMS",31,39849.11,0.63717
"7169","TPM2",31,39187.67,0.96318
"79705","LRRK1",31,37603.64,0.40156
"1457","CSNK2A1",31,36299.95,0
"7428","VHL",31,33333.95,0
"27336","HTATSF1",31,23810.97,0.51674
"5902","RANBP1",31,20475.16,0.79857
"10056","FARSB",31,20025.24,0.71377
"1956","EGFR",30,91748.55,0
"4704","NDUFA9",30,68378.74,0.68863
"25842","ASF1A",30,61556.29,0.40545
"3678","ITGA5",30,60715.51,0.65559
"2275","FHL3",30,56803.41,0.60382
"1969","EPHA2",30,50048,0.4357
"56886","UGGT1",30,47044.24,0.70479
"51729","WBP11",30,41772.92,0.93815
"23532","PRAME",30,17387.25,1.0186
"672","BRCA1",29,79705.53,0
"865","CBFB",29,58328.14,0.48711
"2512","FTL",29,54651.69,0.84092
"665","BNIP3L",29,53639.76,-0.73406
"2192","FBLN1",29,48312.74,0.4195
"10971","YWHAQ",29,30958.91,0
"60492","CCDC90B",29,29313.85,-0.44178
"10014","HDAC5",29,20038.58,0
"5970","RELA",28,62490.27,0
"23411","SIRT1",28,58551.24,0
"928","CD9",28,55778.92,1.3333
"51465","UBE2J1",28,55729.23,0.5019
"7358","UGDH",28,53591.05,1.1023
"6396","SEC13",28,50711.13,0.93352
"158","ADSL",28,44075.3,0.91838
"23633","KPNA6",28,30523.95,0.65814
"4733","DRG1",28,30248.62,0.70055
"1031","CDKN2C",28,23841.2,0.40206
"9924","PAN2",28,14150.7,0
"3725","JUN",27,60513.12,0
"473","RERE",27,49243.13,0.4477
"3949","LDLR",27,46919.78,0.56659
"4666","NACA",27,31282.99,1.0619
"6747","SSR3",27,22346.16,0.47903
"10980","COPS6",27,22166.4,0
"7013","TERF1",27,20442.44,0
"7291","TWIST1",27,16279.31,0.45257
"8450","CUL4B",27,14341.31,0
"4163","MCC",27,9168.8,0
"4088","SMAD3",26,59684.09,0
"10483","SEC23B",26,51841.83,0.45969
"11128","POLR3A",26,43024.23,0.57073
"9181","ARHGEF2",26,35367.44,0.53957
"4597","MVD",26,31958.09,0.39922
"3192","HNRNPU",26,27823.77,0
"52","ACP1",26,27498.74,0.70599
"4942","OAT",26,24376.5,0.60856
"9636","ISG15",26,22352.53,0
