"Id","Label","Degree","Betweenness","Expression"
"29086","BABAM1",54,66895.68,-32.8125975084175
"8204","NRIP1",54,62889.19,-4.68962155538829
"2317","FLNB",54,48167.95,13.0891398037037
"11321","GPN1",54,38828.73,44.9299338602694
"29896","TRA2A",54,32594.93,44.9076400036075
"5110","PCMT1",54,29985.84,-212.788637618567
"26227","PHGDH",54,29645.86,49.7899779737855
"1627","DBN1",54,28941.52,-17.9424779333814
"54165","DCUN1D1",54,25810.94,0
"1975","EIF4B",54,16378.53,20.9466277693603
"51726","DNAJB11",53,76045.34,-165.899799490139
"3336","HSPE1",53,45585.73,80.7643943049543
"10726","NUDC",53,29183.8,-43.4834893275613
"9406","ZRANB2",53,26789.92,26.596882540885
"829","CAPZA1",53,15728.84,614.707576767677
"2197","FAU",53,15670.55,-194.547245935546
"4782","NFIC",52,137220.63,-16.8730802289562
"6182","MRPL12",52,54150.85,-24.785088015873
"3304","HSPA1A",52,42218.74,0
"10808","HSPH1",52,41195.58,-60.1635837474748
"10130","PDIA6",52,36736.25,142.979304252044
"207","AKT1",52,34024.41,0
"51377","UCHL5",52,9061.45,0
"11030","RBPMS",51,106874.17,-7.32864862385762
"5521","PPP2R2B",51,92017.52,-14.1819805526696
"667","DST",51,60523.1,98.1095357888408
"301","ANXA1",51,41819.99,242.34680529822
"4522","MTHFD1",51,39876.92,-23.687011010101
"837","CASP4",51,35870.3,-187.157904035594
"5757","PTMA",51,34591.43,189.701555483405
"367","AR",51,34193.87,0
"5111","PCNA",51,32563.54,0
"10109","ARPC2",51,32514.66,182.530204288119
"10111","RAD50",51,27857.85,-20.9742205857383
"4155","MBP",51,27383.8,-31.5079606931551
"23367","LARP1",51,22109.01,-11.6066760707071
"3188","HNRNPH2",51,19644.5,-57.626846695219
"57142","RTN4",50,71270.63,98.8421736337181
"2965","GTF2H1",50,58184.14,-36.9335581628187
"5378","PMS1",50,47201.39,14.8893207450697
"3337","DNAJB1",50,38968.41,-27.1601598544974
"3175","ONECUT1",50,38703.19,0
"9643","MORF4L2",50,38103.45,160.067655521886
"6150","MRPL23",50,37271.24,-1.45086334656085
"7329","UBE2I",50,36580.24,0
"4134","MAP4",50,30298.82,39.4658923074074
"6472","SHMT2",50,30096.32,70.9825377255892
"868","CBLB",50,28787.13,-20.4808427479558
"26270","FBXO6",50,28058.86,0
"7014","TERF2",50,24218.1,0
"1643","DDB2",50,22695.99,-38.1471757046657
"440","ASNS",50,19158.42,70.0940758872054
"9352","TXNL1",50,14057.97,-202.64108051467
"7138","TNNT1",49,96310.1,6.49443779220779
"196","AHR",49,65945.11,-21.2577312671958
"6310","ATXN1",49,57411.84,0
"654364","NME2",49,43937.25,0
"11235","PDCD10",49,36693.44,-88.0035231361231
"3815","KIT",49,32580.11,-8.36177725036075
"3858","KRT10",49,25199.97,-5.76159037205387
"9636","ISG15",49,12469.54,0
"834","CASP1",48,89189.72,-29.0145686435786
"10783","NEK6",48,56989.52,-21.558101517316
"5479","PPIB",48,52521.68,141.487836435786
