Names	total	elements
		TTI1
		SYTL2
		TMBIM6
		SP2
		KIAA1967
		CYP3A43
		SNRNP25
		DPF1
		TMEM38B
		SRD5A3
		NFE2L1
		MRPS31
		STIP1
		MTFP1
		NT5DC2
		HLA-G
		PSMB4
		CYBB
		XPNPEP3
		MTDH
		SART1
		CLEC17A
		HSP90AB1
		SHB
		ZCCHC17
		SLC25A20
		KCNJ3
		NOP14
		RHOT2
		EIF4EBP1
		GSPT1
		DPP9
		GTF2B
		C2CD2L
		SLC43A2
		NAIF1
		UTP6
		GUSB
		EXTL3
		COPS3
		PMPCB
		LIG1
		DMRT2
		DNM2
		GLDC
		EHMT1
		TMEM97
		PLA2G7
		PDE6B
		MRPS16
		MACC1
		MFAP2
		KCMF1
		WWC3
		IL17RA
		CDK5RAP3
		YTHDF2
		GGCX
		FZD8
		STRA6
		CAMK4
		EGLN2
		GALNT14
		C3orf45
		KBTBD4
		CLPX
		NPLOC4
		ROBO3
		RAB34
		TRIM28
		POLE4
		C22orf32
		MZF1
		ANKLE1
		PHLDA2
		CNIH4
		FKBP15
		BZW2
		GGCT
		NSMCE1
		HTATSF1
		TST
		SLC35D1
		PSMD4
		COL16A1
		POP1
		TTC22
		RNF24
		JMJD4
		CD70
		DCPS
		ALG8
		ST3GAL4
		PDXDC1
		SRC
		MRPL27
		CYB5R3
		SBK1
		NFS1
		RBFOX2
		SNRNP35
		TIMELESS
		MYOZ3
		DDX10
		TMED10
		IDH3G
		RAB11FIP1
		MAPRE2
		KIF13A
		YIF1A
		DLGAP5
		PPRC1
		C12orf45
		PHF8
		TMEM14B
		ADIPOR1
		DNAJB2
		RABEPK
		LUC7L3
		SNF8
		FABP6
		ABCA9
		RC3H2
		BBS5
		TMEM87A
		SMTN
		IFT27
		NACC1
		GFER
		STX10
		CD209
		SEC62
		CYB5R2
		RIC8B
		TNNI1
		EIF2C2
		SBDS
		ZNF143
		PCBD1
		TAF3
		MAN1B1
		GOSR2
		AKAP8L
		UBE2Z
		FLRT3
		RNPS1
		DHRS4
		NDUFB11
		SLC25A10
		STK19
		OSBPL2
		TBC1D7
		MKI67
		FFAR2
		KANK2
		SEC11A
		TMEM123
		CCL5
		ALDH1A3
		TGIF1
		PEX5
		SCO2
		TP53
		LENG1
		CLSPN
		MAP1LC3A
		MNT
		PPP6C
		OTUB1
		SMG7
		TMEM115
		WDR45L
		PRPSAP2
		PSMC5
		LOXL4
		EXOSC4
		VASP
		SETD1A
		FIZ1
		EME1
		BAG5
		RELB
		BUD13
		LAMB2
		SDE2
		CTAG1B
		CASP9
		MED24
		GRIN3B
		UPRT
		ATP6V0A1
		SRA1
		ZNF768
		GTF2I
		ZNF32
		BRD2
		CAT
		C16orf80
		SLC7A1
		MRPS15
		AGAP3
		GORASP2
		USP36
		CTNND1
		LYZ
		TMEM186
		UBE2D4
		CPNE1
		FAM219B
		ZC3H4
		NUDCD3
		PDZD11
		PPP1R11
		ELAVL1
		ALG5
		PIAS4
		DNAJC17
		FAM118B
		S100PBP
		RABL2B
		SLC35F2
		IGBP1
		CFLAR
		DCAKD
		WDR48
		LZIC
		NRXN3
		CDKN2C
		PITRM1
		GUK1
		FAM210B
		USP12
		STXBP1
		CUTC
		AGPAT5
		ADM
		LSM2
		CTDNEP1
		HINFP
		ABCB6
		MRPS25
		VPS72
		ZMAT2
		EIF4H
		MAPK8IP3
		LAP3
		IMPDH1
		PPIC
		PRKACA
		ACP6
		SPRY4
		ETFB
		MXD1
		ASXL1
		TUBB4B
		WDR37
		TBRG4
		POU5F1
		RBM39
		MDP1
		IMP3
		STX1B
		KPTN
		RAB9A
		ERI3
		NFKB1
		FASTK
		VRK3
		LDB1
		ABCC1
		WFDC8
		LMF2
		TUBB8
		PCBP2
		HAX1
		NUP205
		ACTA1
		GABBR2
		WDR83OS
		CTSA
		WRAP53
		UBFD1
		COQ4
		ELP2
		SNX15
		TIMM17B
		MMADHC
		RNF8
		IGF2R
		RNF181
		HOXC8
		RBM15B
		IL12B
		ADPGK
		DDX39B
		APEX2
		SNTB1
		TMEM107
		DEDD2
		PSMB3
		TXNL4B
		TGFB1I1
		SNRNP200
		GFRAL
		SOBP
		DNM1L
		EIF1AD
		RNF114
		RAD54L2
		ZNF207
		EXOC7
		CLEC11A
		KLF13
		TXN2
		MPRIP
		TSPAN4
		ZFAND2A
		TOLLIP
		NLE1
		TAF15
		TRAPPC3
		AP5S1
		TPST1
		MED19
		LRRC57
		SREBF1
		PCDHB5
		SCMH1
		C15orf23
		PAGR1
		HTR2A
		ARMC5
		SCNN1G
		ALKBH6
		BEND3
		POLD3
		UBTF
		PHB
		CYP8B1
		WDYHV1
		CLTB
		MKRN1
		AKR1A1
		ANXA7
		WDR13
		POU2F1
		CNNM2
		PMP22
		APC
		SEC61B
		COMMD9
		GPX1
		P2RX7
		SBNO1
		SLC39A1
		ADNP2
		PSME2
		RBM25
		GNA12
		ARCN1
		MAP1LC3B2
		MECR
		POLR2E
		B4GALT5
		PIGC
		HIGD2A
		TTLL5
		MCMBP
		GLB1
		INO80
		DTX3
		AMOT
		NAA11
		EPHA10
		ASB9
		MTCH2
		MGRN1
		PGS1
		EPHB2
		MRPL30
		ACTG1
		PLEKHA6
		CALM1
		CENPT
		RNF123
		ZFP42
		C8orf33
		KDSR
		HAVCR2
		MCM8
		TEX11
		NME1
		MAP3K11
		ACOT8
		SCAF4
		CLASRP
		LPCAT1
		SIVA1
		FAM222A
		ANKS3
		RBM28
		SRRM2
		APRT
		PCSK7
		HNRNPA1
		GPS2
		RALBP1
		GIGYF1
		BCAS3
		HGS
		POLA2
		TP53RK
		NOL10
		KAT7
		HNRNPA1L2
		ADARB2
		SLC16A1
		TCOF1
		GATC
		SF3B3
		PIPOX
		NUDT21
		EPHB4
		REPIN1
		PDE4A
		CAPZB
		NKIRAS2
		TRMT5
		VPS45
		TRMT61A
		SOX2
		ZNF850
		SCO1
		TP53BP2
		GINS2
		VGLL4
		SPC24
		SPHK2
		GNPTG
		TRADD
		GPR108
		C1orf43
		SCARF1
		TMEM54
		LETMD1
		SYAP1
		PHF23
		CD3EAP
		PVR
		B3GNT2
		TMEM63A
		FNBP1
		FANCG
		ZNF471
		MAGEA4
		IFIT3
		TMTC2
		MYADM
		UCK2
		SCN3B
		PGK1
		FAM50A
		OAT
		WLS
		MLXIP
		BLOC1S4
		NAT14
		PLOD1
		MTFR1
		NPDC1
		GPAA1
		HYAL3
		TEX264
		CLPB
		LTV1
		DONSON
		VAMP2
		PRCP
		PDE6A
		RNF135
		SUPV3L1
		FIBP
		SPIB
		YIF1B
		TBCB
		DHCR24
		MEF2D
		CNPY2
		PANX1
		RNF25
		TAF5L
		TSTA3
		RAC1
		CCDC59
		MOB2
		MED20
		CHMP4A
		FBXL12
		TOMM20
		ARSF
		MAST2
		TBC1D14
		AGFG1
		PNKP
		SETD2
		ROGDI
		SENP1
		MATR3
		MSC
		ATXN7L2
		PACSIN2
		SEC23B
		TFDP3
		ACOT1
		RFX5
		RDH13
		SPTLC1
		TXNDC15
		PTPN18
		HMGB3
		TOPBP1
		MID1IP1
		KLF11
		HMG20B
		HOMER3
		SYNE2
		SLC22A4
		PHLDA3
		KLHDC4
		GALK1
		GABARAP
		NOSIP
		NUP214
		FABP7
		GOLM1
		ARL1
		FBXL6
		IFT46
		SSH2
		CDK5RAP2
		KCTD15
		EIF3B
		DNAJB1
		CHID1
		COX14
		DUSP7
		NANOG
		ACAD8
		NLRP3
		GPR3
		MED29
		CCDC50
		C20orf111
		GNAI2
		FASN
		SLC39A7
		SFXN2
		RFC3
		PRDX6
		BCAN
		ILF2
		MRI1
		SMPD4
		SLC25A26
		CROCC
		NOM1
		CCBP2
		ZYG11A
		TGM2
		ACTL6A
		CLDN4
		SLC23A2
		DNAJC22
		GRK6
		MANBAL
		TMEM18
		SLC44A2
		EPHA2
		SQSTM1
		SARS2
		BIN3
		HPS6
		SNRNP70
		MAN2A2
		PTOV1
		PLK3
		PTPN11
		KDM5C
		C7orf26
		UBE2F
		WDR54
		MRPS34
		PLK1
		NDUFA11
		MLL
		DAP3
		ZC3H7A
		ZDHHC16
		PUSL1
		ST3GAL1
		MIS18A
		TAPBPL
		DVL2
		MTRNR2L1
		GEMIN8
		ARMCX5
		SSBP4
		HIF3A
		PSMC2
		APEH
		ZNF749
		LPGAT1
		FOLH1
		PCYT1A
		MAPKAP1
		BRMS1
		CHST1
		SPRR2D
		CYFIP1
		UBQLN4
		CACHD1
		PCMT1
		PIAS3
		SRI
		HDAC5
		SOCS6
		SGPL1
		MRPL24
		WDR1
		YWHAE
		GON4L
		AFG3L2
		SWAP70
		TMEM222
		ADAT2
		MRGBP
		GRIPAP1
		PRPF19
		FOXC1
		NDUFS8
		LSM14A
		BTRC
		EIF2B3
		CABP5
		TRIM3
		RBM4
		PQBP1
		JTB
		TNFSF10
		EDC3
		SMARCB1
		NABP2
		MRPL47
		SCIN
		MGAT5
		DYNLT1
		MRPS11
		COPG1
		WDR43
		MTHFSD
		EFNA4
		POLM
		MRPS17
		NUP153
		MYH9
		CLPTM1
		C17orf79
		TTYH3
		IDH2
		ZNHIT1
		PCGF6
		AICDA
		COPZ2
		POLR2I
		ZNF665
		MEF2A
		GPI
		ASF1B
		RAD9A
		PACRGL
		ALG1L
		COPZ1
		AGPAT3
		FOXD3
		TBX2
		TMEM237
		PODXL2
		FAM216A
		SFSWAP
		SGCB
		E2F1
		PLCB3
		CLP1
		NPAT
		COIL
		GPATCH2L
		ZNF716
		APMAP
		ARHGEF2
		KIF16B
		CDC25C
		TSC2
		RCOR3
		DHX30
		NRP2
		CPSF7
		PTRH1
		CDH2
		EEFSEC
		ACP2
		HYI
		CASC3
		GTF3A
		MRPL54
		ARF1
		PRAF2
		ARID5B
		MAU2
		MOG
		SIPA1L2
		SPTAN1
		NECAP2
		ACTR1A
		PPARG
		ISOC2
		SIGLEC14
		CITED1
		CNN3
		IRF6
		PRDM4
		HSPA4
		MMAB
		RRP9
		DCTN3
		NT5C
		SLC1A5
		GET4
		MPV17L
		ANKS6
		LSM10
		PSMG2
		GNB1L
		MYBL2
		GFI1B
		C11orf58
		SUN1
		MYL6
		ASB3
		SMAGP
		CTXN1
		GJB3
		RGS19
		POMZP3
		CENPO
		KCTD5
		ECM1
		SIX3
		OGG1
		DNAJC3
		C1orf21
		LITAF
		ZNF410
		SIMC1
		TMEM165
		ZW10
		TUBA1B
		KIAA1549L
		CPNE2
		MYT1
		ZNF343
		SCAND1
		TADA3
		ZCCHC24
		RNF20
		PPP3CC
		CTF1
		PIM1
		GOLGA1
		EGFL7
		TIGD1
		MEA1
		PIK3R3
		CDPF1
		CORO1B
		BRF1
		TMEM171
		PAXIP1
		COG2
		TCEA2
		TRAPPC2L
		SLBP
		CDCA7L
		MTOR
		UBL4A
		NR2C2AP
		CKS1B
		ANAPC7
		MCM3
		USP13
		INO80E
		CCDC170
		CUEDC2
		IL13RA2
		DDX42
		TXNRD2
		C4orf19
		CCDC120
		SLC27A1
		NME6
		MIIP
		AP2M1
		SS18L2
		STAC2
		SNAPC4
		RPUSD1
		SLC9A7
		FAF1
		OAS3
		NPRL3
		LRIG3
		VAPB
		CSK
		MRRF
		MTFMT
		LUC7L
		MARVELD1
		ZNF76
		AFF4
		QPCTL
		RAF1
		INF2
		MRPS33
		ANO1
		PRPF6
		UBE2M
		SOX12
		FURIN
		AKIP1
		UQCRFS1
		ARL10
		RAMP1
		ZNF587B
		FKBPL
		ZYX
		SH3KBP1
		SYT15
		SYNRG
		SF3A2
		DNLZ
		FN3KRP
		SIRPB1
		RHBDD2
		GATAD1
		PSMB2
		CALR
		SNRPD1
		NCAPG2
		ZFPM1
		CERS1
		XRCC3
		PIP5K1A
		BTBD2
		PCDHB2
		RDBP
		PCNA
		RBBP4
		PTK7
		PDPR
		TWF2
		PRKAR1A
		DOLPP1
		AP1M1
		GLT25D1
		CYC1
		B4GALT2
		FEM1A
		C1orf122
		CHUK
		HR
		CCDC134
		PDPK1
		ETV4
		SRGAP2
		GPN3
		CCDC86
		MYH10
		HOXC5
		TTC39C
		CTBP1
		TBXAS1
		TMEM9B
		DNAJA1
		KXD1
		INTS10
		LGSN
		CWC27
		ALDH1B1
		ZNF124
		FAM18B2
		KIF2C
		ASCC2
		GFM1
		PSENEN
		SLC44A1
		FBXO17
		RAB11FIP3
		PCK1
		BABAM1
		CYTH2
		RAD51C
		IRAK3
		CYB561D2
		MYO5A
		ZC3HAV1L
		MEGF8
		PARP6
		ADAM10
		SULT2A1
		REV1
		SPEN
		PRPS1
		NAP1L4
		MRPS22
		GNG4
		CHST14
		GAMT
		TTC32
		ZNF217
		MIDN
		KANSL1
		ZNF167
		SZRD1
		FRAT2
		FAM53C
		BAD
		HIRIP3
		DHTKD1
		SH3GLB2
		MPHOSPH8
		NOC2L
		NRG2
		ATF5
		CTH
		MFSD10
		CRTC2
		GABARAPL1
		TAF1L
		SLC4A2
		SUGP1
		HNRNPUL1
		SNUPN
		PFKFB3
		PKNOX1
		ECSIT
		SIN3A
		CLCN7
		ABCB5
		RNF168
		PDCD2L
		CABLES2
		ISG20L2
		DDA1
		RNF115
		CISD2
		TNFAIP8L1
		GBA
		CBX8
		RRBP1
		IL1RAP
		MTMR10
		MAT2B
		PRDX5
		NDOR1
		PPIA
		VDAC1
		CSNK1D
		MED6
		TPRN
		TXNDC5
		RALGDS
		PER2
		ARFGAP2
		CIR1
		GABPB1
		TYSND1
		UTP14A
		WRAP73
		NXF1
		TBP
		CTSD
		NHEJ1
		FKBP1B
		FAM86C1
		MRPL17
		CXXC5
		ZNF653
		GID8
		ARHGAP19
		TADA2A
		AMACR
		TFRC
		TINF2
		EPC1
		RBPMS2
		DDX46
		TCEAL4
		AK2
		CYP4A11
		PRPF38B
		SNX20
		KAT6A
		BCOR
		RAB36
		PFDN5
		NSUN3
		CMTM6
		ILF3
		ZNF444
		PICK1
		POLR3C
		DCDC2
		HAUS8
		JOSD1
		TYRO3
		FANCF
		CSNK1A1
		TBL2
		ZBP1
		ADRM1
		PEX6
		TXLNA
		CHKA
		AIP
		DCAF16
		UBAP1
		ZFP82
		CPPED1
		ALDOA
		EXOSC5
		CEP89
		AIMP2
		PRRC1
		THAP3
		VPS13D
		SPATS2
		TMEM184B
		COA1
		HNRNPH3
		NOMO3
		SKIV2L
		DIS3L2
		C3orf37
		EMC7
		DROSHA
		CTCF
		ZNF696
		SNTB2
		SURF2
		INO80C
		WHSC2
		PSMC1
		RFXANK
		FAF2
		AGAP2
		LAMC1
		COASY
		CCND3
		S100A11
		M6PR
		ADA
		CEP95
		DOT1L
		MAZ
		PIN4
		ZHX1-C8ORF76
		ZBTB8A
		SMYD2
		CHMP4B
		PBX3
		ZNF629
		MKRN2
		MED30
		NXT1
		ENKD1
		GRAMD1A
		TROAP
		PSME4
		TFG
		ECI2
		SSNA1
		ELOVL4
		SNAPIN
		RAN
		LMTK2
		CASKIN1
		CCDC8
		PTGDR2
		GPR26
		VIPR2
		SEMA6A
		FAM131A
		UFC1
		HSD11B1L
		GMEB2
		KDM3B
		FOXK1
		LIMK2
		GAR1
		ETF1
		EIF4G1
		ING2
		INTS3
		C1orf109
		LSM7
		IDH3A
		HSP90AA1
		LRRC47
		ANGPT2
		RANBP3
		EIF2C1
		EFCAB4B
		UBE2G2
		NMRAL1
		PHLPP1
		PARP1
		ACSS2
		SIAH1
		COPS7B
		BAG6
		LHX1
		SH2D4A
		DDX55
		ZNF618
		RIN1
		GOLGA7
		PHLDB1
		MLX
		NSUN2
		MAGEC2
		PGM2
		RILPL2
		BLOC1S1
		KIFC3
		STX3
		SLCO4A1
		NCAPH
		SLC25A25
		STK11IP
		ZC3H13
		THOC3
		ACYP1
		AP5Z1
		PHACTR4
		ZNF610
		PRKCSH
		TK1
		ENG
		GAPVD1
		TMBIM4
		CCNO
		HLA-F
		NMUR1
		RXRG
		SAP30L
		PGP
		SORCS1
		BRD9
		VEZF1
		TBC1D4
		GLUD1
		ST3GAL2
		GIT1
		OGT
		APIP
		ZNF394
		MYLIP
		ODF2
		MFAP4
		SLC11A2
		TMEM45B
		SMCR7L
		EPB41
		DENND5A
		NUP98
		MEN1
		RARA
		FASTKD3
		BDH1
		FAM108C1
		SS18
		RNF220
		CARM1
		SHCBP1
		TRABD
		PTPRS
		TAF6
		MYD88
		TNC
		PML
		CBFB
		BRAP
		ZC3H7B
		UROD
		DPP3
		COMMD4
		DAB2
		TUBB2A
		LRP6
		RRP8
		TTLL12
		RBCK1
		RFC2
		ZDHHC8
		DVL3
		ZDHHC15
		SCFD2
		IL2RA
		FBXL15
		CRX
		TBCC
		TBC1D13
		PSMG3
		LSM6
		MLLT1
		HNRPDL
		PRIM1
		ATP1A2
		ANKRD39
		COPS5
		TPM4
		CSTF2
		CABP4
		BCL2L11
		HERPUD1
		SCPEP1
		MAPKAPK5
		ACAD9
		INHBA
		CEP78
		CDCA3
		ZNF428
		METTL9
		CPSF1
		PXDC1
		NUP188
		SLC36A1
		RAI1
		SRXN1
		ATAD2
		LRRK1
		NPEPPS
		DDRGK1
		XPNPEP1
		KLF8
		MLLT6
		DNMT1
		EPB41L2
		CDK5RAP1
		RNF26
		JMJD6
		CTSL1
		WIPF2
		BRIP1
		SMARCD2
		PLXDC2
		SBF2
		ZNF699
		SUV39H1
		SLC7A5
		FOXRED2
		TRIM7
		AAMP
		CYP20A1
		NFIB
		MBD6
		CAPRIN1
		AK4
		ATRAID
		PEA15
		SLC15A1
		NDUFAF2
		NPC1L1
		TAT
		FMNL3
		GSPT2
		TRIM13
		FNBP4
		NAT9
		C12orf43
		STXBP6
		CBL
		WDR25
		MGA
		EIF4A1
		GSTK1
		SPTLC2
		ZDHHC9
		FBXW5
		SRSF10
		TSEN2
		YIPF1
		DCAF15
		CEP97
		MYO19
		TSPO
		SYMPK
		HES6
		CLINT1
		LEPROTL1
		REEP5
		POLE2
		FADD
		MRPL39
		NIN
		SRPK2
		CACNA1A
		SLC1A4
		HINT2
		MCM9
		PLA2G15
		CDH1
		ENY2
		CALU
		ITPA
		EMC4
		ANKFY1
		CNTRL
		SAP18
		HSPA5
		LIMCH1
		TNFSF13B
		SYS1
		RWDD1
		ALDH8A1
		ZKSCAN5
		FIP1L1
		C4orf21
		SSH1
		H6PD
		RALA
		ENSA
		CAD
		INTS9
		ETHE1
		ZNF526
		ACAT2
		HADH
		CACNG3
		PFDN6
		PPP2R1A
		HNRNPM
		SRSF1
		TMEM245
		CNTNAP3
		EEF1E1
		AUNIP
		LAMTOR1
		ANAPC16
		HK2
		MRPL2
		ELOVL6
		EPHX1
		C19orf48
		ZNF346
		BFAR
		KHDRBS3
		PPIL2
		VPS18
		DNAJC2
		AP4S1
		AVPR1A
		SLC27A4
		UBA52
		PPIF
		GEMIN7
		RIPK1
		PRKD1
		HSPBP1
		MTHFS
		ANKRD50
		ICAM1
		ZNF674
		BCL2L1
		HECTD3
		MAPK3
		SLC20A2
		JARID2
		ZNF584
		STK4
		ABCF3
		CHIC2
		ATPAF1
		APLP2
		NCBP1
		MICAL3
		PCDH10
		TMEM164
		SLC9A1
		PRR7
		RANBP17
		TTI2
		PIGS
		MRPS27
		EDC4
		MPZL3
		WBP2
		UBAP2L
		MLST8
		HSP90B1
		BCAS1
		HOXB6
		TNIP2
		U2AF1L4
		NOL6
		SORD
		SLC25A33
		CD81
		EIF3C
		RCE1
		WDHD1
		TIMM8B
		CYP2W1
		TRIM44
		KIF1C
		TMCO1
		PARL
		PAPSS1
		TRRAP
		GRN
		HSH2D
		SLC45A4
		ELF2
		PTS
		AP3D1
		LDLRAD3
		BANP
		ATP6V1G1
		MC5R
		OGFR
		DDX54
		ANPEP
		KIF15
		SIGLEC10
		TRIP4
		GDF5
		PTPRA
		STOML2
		GOLIM4
		LAS1L
		HSF1
		FAT3
		BAP1
		UBXN1
		GLRX5
		RAB5C
		FLAD1
		MSH2
		TMEM161A
		ERP44
		ZEB2
		CYLD
		HIF1AN
		MRP63
		POLR2H
		NCKIPSD
		NECAB3
		PET100
		DSG3
		BUB1B
		NFKBIB
		USF1
		NSA2
		SLC46A1
		TSC22D4
		PRRC2A
		AAGAB
		USP48
		CAPN5
		NR1H4
		RRM1
		PA2G4
		C1orf35
		CTDSPL
		PDE11A
		MRPS2
		POLR3H
		ABHD11
		NSRP1
		RILP
		ARHGEF1
		HJURP
		RNF214
		THUMPD1
		OPRM1
		ST6GALNAC6
		C6orf136
		ACIN1
		SRSF2
		MS4A7
		SDHC
		OSBPL11
		ATF6
		GNB5
		AGXT2L2
		GBF1
		IL16
		HAUS5
		UBTD2
		TCF3
		ZSWIM7
		RNASEH2A
		EIF2AK1
		FAM125B
		IRGQ
		SPATA5
		B4GALT3
		TXNDC11
		SMC5
		SMN1
		NVL
		ATAT1
		BACH1
		GGNBP2
		NRDE2
		PPP2R2D
		PRPF38A
		PTAFR
		DTL
		ALG3
		CENPV
		EWSR1
		RNF40
		PLEKHH3
		PDCD11
		RSAD2
		CTBP2
		TM7SF3
		CRTC3
		CDH23
		LRRFIP2
		EXOG
		PEX10
		INTS4
		KLC1
		MLEC
		GALE
		NT5C2
		TBC1D10B
		USHBP1
		ZFYVE21
		AKAP13
		FLG
		SNAP47
		SLC45A3
		C8orf76
		RAD51
		REEP4
		RAD51D
		FERMT1
		HTRA2
		CDK5
		KIAA2013
		RBBP5
		PPFIA1
		RANGRF
		DNAJB12
		NCAPH2
		CRK
		RNASET2
		NEDD9
		JAK3
		HEY2
		DDX23
		PSMD13
		ETV5
		SLC39A11
		LY6E
		ARHGDIA
		GCAT
		TRAPPC4
		S1PR5
		GSTO1
		MAD2L1BP
		NOLC1
		PGAM4
		LSM1
		RGS10
		CHERP
		UBIAD1
		PTPN3
		FAM217B
		NPTN
		SYT17
		SCAMP2
		RTKN
		PLD3
		SART3
		ART3
		UPP1
		SLC6A9
		NDUFS5
		POFUT1
		PDLIM3
		ZNHIT3
		PPP1R35
		UNC93B1
		TMEM179B
		GMNN
		TJP2
		RNF149
		CCT5
		SPCS2
		ARF3
		SELRC1
		NAPRT1
		PAX3
		CITED4
		PRKAB1
		CNP
		KIF20A
		YAP1
		PSMD7
		LMX1B
		SIK3
		RAD21
		TM2D1
		TMTC4
		SNRPB
		RPUSD4
		TTC17
		MIF
		TAPT1
		ORC6
		PFN1
		ACD
		SOX11
		HIVEP3
		ITGB3
		MKI67IP
		SPATA13
		MRPL16
		RHBDD3
		CEP152
		CLIP1
		SYVN1
		LPCAT3
		SF3B4
		NUDT5
		MAP7D3
		PSMC3
		MIF4GD
		XYLB
		P4HB
		RBM27
		ZNF282
		CERS2
		ANAPC15
		WDR55
		SIGLEC11
		BRF2
		MFSD5
		BLOC1S6
		F12
		NUMA1
		CERCAM
		SUPT6H
		GSK3A
		GIPC1
		ZNF330
		PSMB1
		TXN
		GPR89A
		TMEM199
		KIAA0947
		FZD1
		FANCE
		BECN1
		TRPC4AP
		GMPS
		GPT2
		PTK6
		DDR1
		LAMA4
		RNF157
		SPAG7
		EIF4G2
		TACO1
		ZNF385A
		IGFBP4
		SNRNP40
		UBE3C
		TRIT1
		HOXC6
		HNRNPH2
		PDSS2
		ATE1
		RNF13
		ZNFX1
		RBFA
		TDRD1
		ARAF
		DCTN5
		GLTPD1
		TEX30
		B3GALNT2
		PSME3
		CLNS1A
		PHF10
		NUP43
		FUNDC2
		DBR1
		EPS15L1
		L1TD1
		UBR7
		ING1
		MED22
		LARP4B
		RRNAD1
		TMED1
		PMM2
		CEBPB
		ZNF398
		GATAD2B
		FMNL2
		METTL3
		REXO2
		ALKBH3
		ZFYVE19
		LIG3
		ECI1
		DHODH
		TULP3
		ATP2A2
		ATIC
		ADAM15
		MZT2A
		DDX41
		UBE2D2
		PSMB10
		ZBTB49
		GABARAPL2
		ZGPAT
		UNC45A
		UBE2Q1
		CYP2J2
		GIT2
		NCAPG
		RASSF6
		HSPG2
		SMG9
		ABHD6
		FLNA
		TEX101
		BAX
		FDPS
		DUSP9
		LRPAP1
		C21orf58
		NCOA4
		NANS
		LRRC14
		GORASP1
		MSANTD2
		FKBP1A
		FXYD3
		NDUFS7
		ANO6
		SCNM1
		ABCB8
		AMD1
		GGA2
		TRIB2
		PRMT7
		CCDC115
		TTC1
		SRF
		HIPK1
		MAD2L2
		MAT2A
		CLN3
		STX4
		SIN3B
		KLRD1
		NDRG3
		TRIM8
		BOLA2B
		SLC10A3
		RNF6
		KAT6B
		PEPD
		SEC22A
		ANXA11
		ZNF358
		TMA7
		KIAA0825
		NUSAP1
		UBXN2A
		PPWD1
		FGF23
		PNPLA2
		PCNT
		SNX21
		TRMU
		HDAC6
		SNX17
		JOSD2
		PSMB9
		XPO5
		ZNF622
		SLC2A11
		IL11RA
		DNAJC19
		RAB8A
		TOP1
		PCIF1
		SHISA5
		SLC39A6
		SNRPD2
		ADIPOQ
		MPST
BRAF Mutant vs Wild-type 	285	MMP2
		KCNMA1
		SUMO1
		PNPT1
		MIER1
		SLC8A1
		ATL2
		GAGE1
		SEL1L3
		ANO5
		STK17A
		FBXO11
		FRS2
		PTP4A2
		IL24
		IRS1
		SNAPC1
		DPYD
		GNG12
		UFL1
		TSN
		GORAB
		KRCC1
		MOB1B
		TNFAIP6
		RNF182
		SOX9
		CASC4
		CUL4B
		SVIL
		GRIP1
		TLK1
		FAM160B1
		TANK
		RAB5A
		ZBTB8OS
		LAMTOR5
		UBE2J1
		FOXN2
		TAC1
		NFAT5
		CDH11
		AMOTL2
		NDUFB3
		PAM
		EMB
		MMP8
		MT1E
		PDLIM1
		TRIM4
		MDM2
		PAPOLG
		EML4
		SSB
		GLIS3
		CWC22
		PPP1CB
		TSPYL1
		HRH1
		ATP2B4
		ID2
		NUMB
		GPAM
		NABP1
		MECOM
		MYL9
		TCF20
		NFYB
		SMARCAD1
		FNDC3B
		CALD1
		PMS1
		SKIL
		SPRED2
		ZNF804A
		LBH
		PROCR
		COL12A1
		CHST3
		ACTR2
		SEC24D
		ID3
		GNAI3
		TRMT61B
		FKBP7
		SCOC
		EML1
		DCBLD2
		RAPH1
		RAP1GAP2
		MRPL33
		COMMD2
		ARF4
		ANAPC13
		C8orf48
		HMGN3
		PTGES3
		IGFBP7
		ARL4C
		AEBP2
		RBMS2
		PLAGL1
		ARNTL2
		ARPC5
		SERPINB2
		SATB2
		FRMD6
		ABCE1
		ABI3BP
		CDH6
		PER3
		SPCS1
		TSPAN5
		ZRANB2
		PKN2
		DUSP11
		OSTC
		CAPZA1
		MAPK6
		HIBCH
		DCUN1D4
		SERPINB1
		CCDC80
		AZGP1
		COPS8
		CAV1
		NAV1
		PAQR5
		LRRC40
		C1D
		HIF1A
		BEX1
		TXNDC9
		ZNF280B
		S100A10
		IL7R
		DSEL
		TNFAIP2
		ZFHX3
		PPP1R14C
		DTWD1
		F3
		FEZ2
		PEG10
		CRISPLD2
		USP44
		GOLT1B
		TNNT1
		UBE2G1
		IGF2BP3
		SH3BP4
		NDUFAF4
		YEATS4
		DLX2
		SCUBE3
		C4orf52
		ADAM19
		LIF
		INO80D
		TMEM87B
		MOB4
		HPS4
		MGST1
		NOC3L
		FN1
		ASAP2
		NUAK1
		NTM
		BEX2
		ITGB1
		NFKBIZ
		ANTXR1
		BARD1
		MCFD2
		WNT5A
		HAS2
		NET1
		MRPS9
		FAM107B
		PTPN14
		SNRPG
		TSPYL5
		PRKACB
		S100A16
		PLOD2
		PYROXD1
		TSPAN31
		COL8A1
		IGFBP5
		NUP35
		HERC1
		GFPT1
		KPNA4
		COL11A2
		PUM2
		LIAS
		MPHOSPH10
		DKK3
		TSC22D2
		CCPG1
		ATF2
		APOD
		ACVR1
		S100A2
		FGF5
		SSR1
		ARFGAP3
		KRT7
		TFPI
		HAT1
